Ixx/LOA^4 @ T/Dd = 0.12,Ixx/LOA^4 @ T/Dd = 0.25,Ixx/LOA^4 @ T/Dd = 0.33,Ixx/LOA^4 @ T/Dd = 0.38,Ixx/LOA^4 @ T/Dd = 0.50,Ixx/LOA^4 @ T/Dd = 0.62,Ixx/LOA^4 @ T/Dd = 0.67,Ixx/LOA^4 @ T/Dd = 0.75,Ixx/LOA^4 @ T/Dd = 0.88,Ixx/LOA^4 @ T/Dd = 1.0
8.75376078841556E-06,7.88920019199231E-05,0.000185978318264993,0.000287451550276896,0.000663478666956525,0.00114270687052901,0.00126273434885736,0.00141312087589447,0.00169239447319779,0.00213150287146836
0.000160078920693152,0.000196183520258674,0.000193283080031352,0.000190754739180849,0.000182272336283446,0.000171095694884893,0.000164728316538869,0.000155427901482,0.000153954717615219,0.000278992155922605
0.000405913598734487,0.00101342490541597,0.00150342848326554,0.00166273678477948,0.00316405233889837,0.015741691107483,0.0336146074832655,0.0583263303278116,0.0276742766288963,0.0134127927364374
0.000125764759216529,0.000312441455317248,0.000443194224909236,0.000494951987195356,0.000684639809877528,0.000799159624090127,0.00086143081692421,0.000985038843674475,0.0013347364311688,0.0131388755616275
0.000107665004202313,0.000210907348961332,0.000296993563546884,0.000360970450346158,0.000562768158754286,0.000838522353280419,0.000976685533351866,0.00122889094184697,0.00172731944235631,0.00229564124297121
1.99316423577951E-06,3.11241802791455E-05,0.000147139887632231,0.000346762683080067,0.0015669907673646,0.00206414420822647,0.00154343488519001,0.000853235813436944,0.000287026444758232,3.57105747861736E-05
2.80474427555248E-05,4.86266611585664E-05,5.91177836344824E-05,6.65516721108404E-05,8.66348281432557E-05,0.000105393357304391,0.000113776815265953,0.000127857509825812,0.000148369028150093,0.00015927629072596
9.26057128863155E-05,0.000469290477941674,0.000588006610103878,0.000633026014135442,0.000650057718305854,0.000586492998882413,0.00055986773705291,0.000531125617225202,0.000561293149735824,0.000670118661161447
0.000598946445561072,0.00113359137664949,0.00137367136300458,0.00149248635911854,0.00167488410741408,0.00171137653146388,0.00170807310009125,0.00177578357854206,0.00179488001881162,0.00181963849820865
4.86954543510529E-05,0.000137532429337131,0.000191340685674398,0.000223856416528259,0.000295558658065241,0.000353516066782197,0.000373419290369046,0.000399657785353673,0.00043042733926323,0.000451120097455264
0.000688479925658613,0.000885572897170937,0.000851329671634956,0.000819058730867432,0.000721692222920596,0.000614127953986177,0.000570036168624034,0.000511890905731899,0.000498161359828095,0.000364798781621706
1.44321124183816E-07,0.000377001237207195,0.000587273683854003,0.000705139159728508,0.00094811417252862,0.00107905796336397,0.00106925703422147,0.000994402711067269,0.000759853896859845,0.000557068827581698
0.000681343079995382,0.00236479808711561,0.00253445863856161,0.00257569149132122,0.00250143313775335,0.00229535946019105,0.00221610896154943,0.00210297265967411,0.00196169477176509,0.00187126803096088
3.28682850704482E-05,0.000118692804641639,0.00018140630313832,0.000216446770321409,0.000280060979262425,0.000307084228750691,0.000311535724885851,0.00031412996515802,0.000307915996274094,0.000289576368036936
